ParticipantID,Email,Topic 1,Condition 1,Session 1 Files,Survey 1,Exam 1,Topic 2,Condition 2,Session 2 Files,Survey 2,Exam 2,...13
aZ0i0P,[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],NA
ODIB1Y,[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],NA
w73EHx,[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],NA
NA,NA,NA,NA,NA,[REDACTED],[REDACTED],NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,[REDACTED],[REDACTED],NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,[REDACTED],[REDACTED],NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,[REDACTED],[REDACTED],NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,[REDACTED],[REDACTED],NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,[REDACTED],[REDACTED],NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,[REDACTED],[REDACTED],NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,[REDACTED],[REDACTED],NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,[REDACTED],[REDACTED],NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,[REDACTED],[REDACTED],NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,[REDACTED],[REDACTED],NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,[REDACTED],[REDACTED],NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,[REDACTED],[REDACTED],NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,[REDACTED],[REDACTED],NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,[REDACTED],[REDACTED],NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,[REDACTED],[REDACTED],NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,[REDACTED],[REDACTED],NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,[REDACTED],[REDACTED],NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,[REDACTED],[REDACTED],NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,[REDACTED],[REDACTED],NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,[REDACTED],[REDACTED],NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,[REDACTED],[REDACTED],NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,[REDACTED],[REDACTED],NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,[REDACTED],[REDACTED],NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,[REDACTED],[REDACTED],NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,[REDACTED],[REDACTED],NA,NA,NA,NA,NA,NA
